Gmt time,Open,High,Low,Close,Volume
03.11.2025 00:00:00.000,154.201,154.209,154.185,154.189,179.4
03.11.2025 00:01:00.000,154.188,154.195,154.175,154.181,75.4
03.11.2025 00:02:00.000,154.179,154.190,154.170,154.172,135.85
03.11.2025 00:03:00.000,154.169,154.200,154.168,154.181,127.85
03.11.2025 00:04:00.000,154.180,154.203,154.179,154.179,102.25
03.11.2025 00:05:00.000,154.178,154.185,154.165,154.185,88.49
03.11.2025 00:06:00.000,154.182,154.200,154.174,154.191,64.8
03.11.2025 00:07:00.000,154.191,154.195,154.179,154.185,75.99
03.11.2025 00:08:00.000,154.183,154.191,154.182,154.187,44.6
03.11.2025 00:09:00.000,154.188,154.190,154.173,154.177,94.15
03.11.2025 00:10:00.000,154.176,154.193,154.176,154.177,58.25
03.11.2025 00:11:00.000,154.173,154.182,154.173,154.178,35.15
03.11.2025 00:12:00.000,154.177,154.196,154.177,154.190,62.15
03.11.2025 00:13:00.000,154.190,154.196,154.190,154.194,20.8
03.11.2025 00:14:00.000,154.209,154.209,154.181,154.192,34.85
03.11.2025 00:15:00.000,154.192,154.200,154.192,154.195,20.1
03.11.2025 00:16:00.000,154.198,154.209,154.194,154.206,50.2
03.11.2025 00:17:00.000,154.204,154.207,154.203,154.205,13.85
03.11.2025 00:18:00.000,154.203,154.206,154.190,154.192,28.85
03.11.2025 00:19:00.000,154.189,154.206,154.188,154.206,48.6
03.11.2025 00:20:00.000,154.204,154.206,154.202,154.206,41.7
03.11.2025 00:21:00.000,154.206,154.216,154.201,154.201,79.68
03.11.2025 00:22:00.000,154.199,154.199,154.154,154.156,129.45
03.11.2025 00:23:00.000,154.154,154.163,154.154,154.162,56.87
03.11.2025 00:24:00.000,154.161,154.171,154.134,154.144,141.05
03.11.2025 00:25:00.000,154.145,154.153,154.120,154.144,83.65
03.11.2025 00:26:00.000,154.144,154.144,154.130,154.133,34.7
03.11.2025 00:27:00.000,154.133,154.145,154.130,154.143,81.89
03.11.2025 00:28:00.000,154.144,154.156,154.143,154.149,50.85
03.11.2025 00:29:00.000,154.147,154.160,154.147,154.156,42.65
03.11.2025 00:30:00.000,154.158,154.171,154.157,154.165,21.7
03.11.2025 00:31:00.000,154.164,154.185,154.162,154.165,46.05
03.11.2025 00:32:00.000,154.175,154.190,154.175,154.181,23.55
03.11.2025 00:33:00.000,154.182,154.185,154.182,154.185,13.35
03.11.2025 00:34:00.000,154.190,154.202,154.181,154.182,36.75
03.11.2025 00:35:00.000,154.180,154.189,154.180,154.185,24.3
03.11.2025 00:36:00.000,154.186,154.186,154.169,154.169,44.55
03.11.2025 00:37:00.000,154.170,154.170,154.149,154.152,42.82
03.11.2025 00:38:00.000,154.151,154.168,154.149,154.168,32.6
03.11.2025 00:39:00.000,154.166,154.176,154.165,154.172,32.1
03.11.2025 00:40:00.000,154.171,154.172,154.157,154.159,44.38
03.11.2025 00:41:00.000,154.160,154.161,154.146,154.155,75.29
03.11.2025 00:42:00.000,154.153,154.158,154.143,154.156,46.7
03.11.2025 00:43:00.000,154.159,154.165,154.153,154.157,37.75
03.11.2025 00:44:00.000,154.156,154.159,154.155,154.157,56.02
03.11.2025 00:45:00.000,154.157,154.185,154.155,154.182,85.13
